"Actual","Predicted"
0,1.33371300448431
1.555,2.14876895593489
4.974,2.39561398963731
2.255,2.14876895593489
3.536,3.33386456605859
2.33,3.33386456605859
2.172,2.88169583931134
3.471,3.33386456605859
0,0.109605479452055
2.423,2.88169583931134
3.547,2.39561398963731
3.554,2.7586405109489
4.82,2.14876895593489
0,0.265447115384615
0,2.14876895593489
4.984,2.88169583931134
0,2.14876895593489
3.748,3.33386456605859
3.371,2.88169583931134
3.458,1.18352255639098
1.078,2.14876895593489
2.721,3.33386456605859
0,2.7586405109489
0,2.14876895593489
4.568,3.33386456605859
4.527,2.7586405109489
3.892,2.88169583931134
2.225,2.14876895593489
2.305,2.14876895593489
0,2.39561398963731
2.902,3.33386456605859
0,0.109605479452055
4.7,2.14876895593489
0,1.18352255639098
2.406,1.33371300448431
0,1.18352255639098
1.527,3.33386456605859
2.531,2.39561398963731
0,2.7586405109489
0,2.14876895593489
0,2.7586405109489
1.944,1.41381898454746
0,2.88169583931134
2.643,3.07447245017585
0,2.90889735099338
2.126,2.7586405109489
2.2,2.14876895593489
4.95,2.88169583931134
2.925,2.14876895593489
2.464,2.88169583931134
4.05,2.88169583931134
1.949,1.33371300448431
4.197,3.4526301369863
2.67,3.33386456605859
3.827,2.88169583931134
2.58,3.07447245017585
0,0.109605479452055
1.729,1.33371300448431
3.411,2.88169583931134
0,0.907041775456919
4.687,2.14876895593489
2.904,3.07447245017585
2.459,2.14876895593489
0,2.14876895593489
1.813,2.88169583931134
3.245,3.4526301369863
0,0.265447115384615
1.902,2.14876895593489
2.367,2.14876895593489
3.089,3.33386456605859
0,1.41381898454746
0,0.109605479452055
3.212,2.90889735099338
4.253,2.7586405109489
2.617,2.14876895593489
1.568,2.7586405109489
3.734,2.39561398963731
2.651,2.14876895593489
3.641,2.14876895593489
3.336,3.30832467532467
0,1.33371300448431
2.04,2.88169583931134
0,0.109605479452055
2.776,3.4526301369863
2.393,2.88169583931134
4.32,2.88169583931134
4.913,2.88169583931134
0,2.14876895593489
2.343,1.18352255639098
3.928,0.907041775456919
2.377,2.14876895593489
3.674,2.88169583931134
1.635,1.18352255639098
0,2.39561398963731
3.182,2.88169583931134
3.137,2.14876895593489
4.616,3.4526301369863
2.031,2.88169583931134
1.517,2.14876895593489
3.217,3.33386456605859
0,1.33371300448431
0,0.109605479452055
2.264,2.39561398963731
3.626,2.88169583931134
0,0.907041775456919
3.209,2.88169583931134
3.076,2.14876895593489
3.246,3.30832467532467
3.563,3.07447245017585
2.737,2.14876895593489
2.868,2.88169583931134
2.577,2.88169583931134
3.513,2.88169583931134
0,1.33371300448431
1.38,2.14876895593489
0,0
3.925,3.30832467532467
1.601,2.14876895593489
0,2.14876895593489
3.982,2.88169583931134
3.06,2.88169583931134
2.887,3.33386456605859
3.052,2.14876895593489
0,2.39561398963731
3.257,1.33371300448431
4.459,2.88169583931134
0,1.33371300448431
2.919,2.14876895593489
0,2.14876895593489
0,0.265447115384615
0,2.88169583931134
3.248,2.14876895593489
2.183,2.14876895593489
1.894,2.14876895593489
2.932,2.14876895593489
3.216,3.07447245017585
4.844,2.14876895593489
0.96,2.14876895593489
2.434,2.88169583931134
1.06,2.88169583931134
4.306,2.88169583931134
4.126,1.18352255639098
3.11,3.07447245017585
1.586,2.14876895593489
3.763,2.88169583931134
3.439,3.33386456605859
0,2.14876895593489
4.866,2.14876895593489
0,1.41381898454746
0,0.907041775456919
0,2.14876895593489
4.053,2.88169583931134
3.955,3.33386456605859
1.592,2.14876895593489
2.351,2.88169583931134
2.843,2.14876895593489
4.741,3.07447245017585
1.667,2.90889735099338
3.148,3.33386456605859
2.794,1.41381898454746
0,3.07447245017585
2.568,3.07447245017585
4.638,2.14876895593489
4.84,2.14876895593489
0,0
1.756,2.7586405109489
1.943,2.39561398963731
0,2.14876895593489
4.718,3.07447245017585
3.803,3.07447245017585
2.515,2.88169583931134
0,0.907041775456919
3.11,3.33386456605859
2.489,2.14876895593489
0,0
1.688,3.33386456605859
3.384,2.88169583931134
0,3.07447245017585
4.768,3.33386456605859
1.77,3.33386456605859
2.776,3.4526301369863
3.28,2.14876895593489
1.114,2.14876895593489
4.506,3.33386456605859
3.836,3.33386456605859
1.46,2.14876895593489
3.086,3.4526301369863
3.567,1.41381898454746
4.809,2.14876895593489
3.812,2.88169583931134
4.995,2.14876895593489
2.564,2.88169583931134
4.755,2.7586405109489
4.698,2.39561398963731
3.018,3.33386456605859
0,0.109605479452055
0,1.33371300448431
4.852,0.907041775456919
3.744,2.14876895593489
3.549,2.14876895593489
0,0.907041775456919
0,2.88169583931134
3.689,2.88169583931134
3.818,3.33386456605859
4.25,3.33386456605859
3.258,1.33371300448431
2.544,3.33386456605859
0,0.109605479452055
0,3.33386456605859
0,0
0,0
3.546,1.33371300448431
4.774,3.33386456605859
0,1.18352255639098
1.778,1.33371300448431
4.034,2.88169583931134
2.451,3.33386456605859
2.666,3.07447245017585
3.726,2.14876895593489
4.617,2.88169583931134
